"","ID","Lat","Lon","Country","Ecoregion","Management","Habitat","Observer","Depth","Coralcover","SSTRateofRise","PARmax","Calcite","Dis_oxygen","mean.waveNRJ","Salinity_mean","andrello_reef_value","andrello_nutrients","mean.npp","TT_market_hrs","TT_pop_hrs","cumDHW","SST_Kurtosis","SST_Median","ChlorA_median","Netflow","Outdegree","Indegree","Retention","andrello_sediments","Current_vel_mean","Diff_attenuation","Grav_NP","Grav_NC","PH","SST_bimodality","SST_Skewness","ClimateStressModel"
"43",43,-5.670016,39.009337,"Tanzania","East African Coral Coast","UnfishedLow","Slope","Nyawira",10,48,0.02139162,54.66724968,0.00120975,4.755500078,2.860490561,35.11634075,0,2.651510954,1127.069336,1.783333333,0.333333333,30.97423657,-0.801191909,27.53,0.515494511,0.363014936,62.5,36.5,5,3118.225098,0.6470635,0.092499999,0.512126397,19.63482764,8.218500137,0.466490479,-0.161434883,0.614800006
"44",44,-5.670016,39.031795,"Tanzania","East African Coral Coast","UnfishedLow","Slope","Nyawira",10,47,0.020440639,54.38699913,0.0005355,4.755500078,3.077312946,35.1267435,0,1.498059869,1127.069336,1.6,0.766666667,30.17023984,-0.809626807,27.52,0.350427046,0.363014936,62.5,36.5,5,1433.638306,0.744242,0.076499999,0.005683113,0.281952723,8.218000412,0.467477992,-0.155853005,0.586875007
"45",45,-5.715008,39.278832,"Tanzania","East African Coral Coast","Fished","Lagoon/Backreef","Nyawira",10,33,0.015482599,54.20100021,0.009194,4.756000042,4.838799953,35.148712,1497,1.202132583,1148.80127,0.766666667,0.333333333,28.79193434,-0.925389227,27.39,0.291441843,0.324302793,59.25,36,16.25,11.48836899,0.761873,0.096000001,0.610036913,1.217058136,8.215999603,0.488101539,-0.113905927,0.679324999
"46",46,-5.715008,39.30129,"Tanzania","East African Coral Coast","Fished","Flat","Nyawira",10,33,0.015335616,54.20100021,0.009194,4.756000042,4.838799953,35.148712,1497,1.202132583,1148.80127,0.766666667,0.333333333,29.18371012,-0.929234781,27.38,0.295008741,0.324302793,59.25,36,16.25,11.48836899,0.761873,0.096000001,0.610036913,1.217058136,8.215999603,0.48872811,-0.111334969,0.677200019
"47",47,-5.715008,39.323748,"Tanzania","East African Coral Coast","Fished","Slope","Nyawira",10,32,0.015592466,54.25550079,0.0046625,4.756000042,5.553743839,35.168911,2800,1.137295246,1024.498779,0.766666667,0.333333333,30.03928472,-0.932584337,27.37,0.243495125,0.324302793,59.25,36,16.25,14.96635818,0.5374025,0.083000001,0.610036913,1.217058136,8.215499878,0.489229195,-0.10860371,0.650375009
"48",48,-5.737503,39.278832,"Tanzania","East African Coral Coast","Fished","Lagoon/Backreef","Nyawira",10,33,0.015482599,54.20100021,0.009194,4.756000042,4.838799953,35.148712,1497,1.202132583,1148.80127,0.583333333,0.133333333,28.79193434,-0.925389227,27.39,0.330427915,0.324302793,59.25,36,16.25,11.48836899,0.761873,0.096000001,0.01388889,2.094606038,8.215999603,0.488101539,-0.113905927,0.712099999
"49",49,-5.737503,39.30129,"Tanzania","East African Coral Coast","Fished","Lagoon/Backreef","Nyawira",10,33,0.015335616,54.20100021,0.009194,4.756000042,4.838799953,35.148712,1497,1.202132583,1148.80127,1.083333333,0.716666667,29.18371012,-0.929234781,27.38,0.428248987,0.324302793,59.25,36,16.25,11.48836899,0.761873,0.096000001,0.13854804,0.600038085,8.215999603,0.48872811,-0.111334969,0.710200012
"50",50,-5.737503,39.323748,"Tanzania","East African Coral Coast","Fished","Channel","Nyawira",10,32,0.015592466,54.25550079,0.0046625,4.756000042,5.553743839,35.168911,2800,1.137295246,1024.498779,1.083333333,0.716666667,30.03928472,-0.932584337,27.37,0.336828381,0.324302793,59.25,36,16.25,14.96635818,0.5374025,0.083000001,0.13854804,0.600038085,8.215499878,0.489229195,-0.10860371,0.679100007
"51",51,-5.737503,39.346206,"Tanzania","East African Coral Coast","Fished","Slope","Nyawira",10,32,0.015784459,54.31000137,0.000131,4.756000042,5.553743839,35.18911,2800,1.137295246,1024.498779,1.083333333,0.716666667,30.59499097,-0.934616047,27.37,0.234233342,0.324302793,59.25,36,16.25,14.96635818,0.312932,0.07,0.13854804,0.600038085,8.215000153,0.489527028,-0.106846386,0.648000002
"52",52,-5.759997,39.211458,"Tanzania","East African Coral Coast","Fished","Slope","Nyawira",10,34,0.015695469,54.3864994,0.0003865,4.757499933,2.498497009,35.126745,605,1.401019454,1295.026123,0.583333333,0.133333333,28.64902927,-0.91703638,27.41,0.301773414,-0.345563469,49.25,70.25,270.5,13.982728,0.7341195,0.107499998,0.01388889,2.094606038,8.217000008,0.487041315,-0.121829476,0.677200019
